iter	Logloss
0	0.6929635828
1	0.6928134487
2	0.6926685889
3	0.6924817432
4	0.6923642443
5	0.6922150332
6	0.6920859724
7	0.6919873645
8	0.6918805078
9	0.6917699846
10	0.6916610885
11	0.6915476725
12	0.6914870287
13	0.691381314
14	0.6912600431
15	0.6911397669
16	0.6910501786
17	0.6909403108
18	0.6908375492
19	0.6907944502
20	0.6907052589
21	0.6906203182
22	0.6905586889
23	0.6904875808
24	0.6904206277
25	0.6903457374
26	0.6902784236
27	0.6902118631
28	0.6901397889
29	0.6900993987
30	0.6900583553
31	0.6899717036
32	0.6898828174
33	0.6898196144
34	0.6897562507
35	0.6896925023
36	0.6896268173
37	0.6895774669
38	0.6895440392
39	0.68948408
40	0.6894275438
41	0.6893744228
42	0.6893313178
43	0.6892737808
44	0.6892249614
45	0.6891795788
46	0.6891481758
47	0.6890978307
48	0.6890615537
49	0.6890332213
50	0.6889992284
51	0.6889708914
52	0.6889259636
53	0.6888742842
54	0.6888397046
55	0.6888111237
56	0.6887697456
57	0.688726932
58	0.688699064
59	0.6886542969
60	0.6886173098
61	0.688582912
62	0.6885533907
63	0.6885216519
64	0.6884924556
65	0.6884518254
66	0.6884198901
67	0.6883871689
68	0.6883563822
69	0.6883204385
70	0.6882974039
71	0.6882802444
72	0.6882581061
73	0.6882372062
74	0.6882135849
75	0.6881954661
76	0.6881571357
77	0.6881309499
78	0.6881128184
79	0.6880837733
80	0.6880653312
81	0.6880354885
82	0.688012173
83	0.6879804863
84	0.6879572144
85	0.6879440206
86	0.6878865937
87	0.687875203
88	0.6878597085
89	0.687838166
90	0.6878232948
91	0.687791797
92	0.6877758674
93	0.6877552226
94	0.6877437763
95	0.6876956581
96	0.6876794106
97	0.6876563325
98	0.6876529952
99	0.6876382493
100	0.6876135194
101	0.6875905057
102	0.6875860064
103	0.6875667895
104	0.687551566
105	0.6875396685
106	0.6875259425
107	0.6875140485
108	0.6874925295
109	0.6874712916
110	0.687447062
111	0.6874320793
112	0.6874055714
113	0.687384953
114	0.6873678866
115	0.6873622319
116	0.6873622244
117	0.6873458969
118	0.6873189692
119	0.6872965478
120	0.6872827149
121	0.6872583943
122	0.6872318857
123	0.6872126443
124	0.687200679
125	0.6871860331
126	0.6871676799
127	0.6871507536
128	0.6871377909
129	0.6871191562
130	0.6871074051
131	0.6870876047
132	0.6870699926
133	0.6870484763
134	0.6870384102
135	0.687024216
136	0.6870132537
137	0.6870001145
138	0.6869853291
139	0.6869796853
140	0.6869710095
141	0.6869525594
142	0.686941963
143	0.6869271478
144	0.6869200248
145	0.686883051
146	0.6868694279
147	0.6868628849
148	0.6868435363
149	0.686830075
150	0.6868205084
151	0.686811108
152	0.6867870118
153	0.6867778421
154	0.686754872
155	0.6867371612
156	0.686718239
157	0.6867092942
158	0.6867019165
159	0.6866777016
160	0.6866625795
161	0.6866509736
162	0.6866445255
163	0.6866293551
164	0.6866224694
165	0.6866109235
166	0.6866016679
167	0.6865811104
168	0.6865637789
169	0.6865533782
170	0.6865296375
171	0.6865275805
172	0.6865060172
173	0.6864981091
174	0.6864815946
175	0.68647349
176	0.6864663303
177	0.6864560894
178	0.6864352058
179	0.686426038
180	0.6864129586
181	0.6864046878
182	0.6863921811
183	0.6863799216
184	0.6863746178
185	0.6863584562
186	0.6863454282
187	0.6863387318
188	0.6863342211
189	0.6863280326
190	0.6863275467
191	0.6863185205
192	0.6862994124
193	0.6862863728
194	0.6862799415
195	0.6862562874
196	0.6862502443
197	0.6862362239
198	0.6862239667
199	0.6862106842
200	0.6862010895
201	0.6861963145
202	0.6861909052
203	0.6861896777
204	0.6861813534
205	0.6861728369
206	0.6861589654
207	0.686152126
208	0.6861436147
209	0.686112343
210	0.68609537
211	0.6860800783
212	0.6860666132
213	0.6860623048
214	0.6860333545
215	0.6860123389
216	0.6860081582
217	0.6860071394
218	0.6859959977
219	0.6859895953
220	0.6859895952
221	0.6859758371
222	0.685964283
223	0.6859459334
224	0.6859374493
225	0.6859279828
226	0.6859195045
227	0.6858988596
228	0.6858866273
229	0.6858676888
230	0.6858502233
231	0.6858403506
232	0.6858403506
233	0.6858336316
234	0.6858336316
235	0.6858186852
236	0.68581526
237	0.6858094888
238	0.685803523
239	0.6857919245
240	0.6857827836
241	0.6857756765
242	0.6857661955
243	0.6857558559
244	0.6857472713
245	0.6857369158
246	0.6857273003
247	0.685720811
248	0.6857133799
249	0.6857038992
250	0.685695385
251	0.6856906203
252	0.6856882602
253	0.6856845482
254	0.6856723126
255	0.6856718417
256	0.6856536004
257	0.6856505048
258	0.6856218198
259	0.6856137079
260	0.6855973555
261	0.6855973555
262	0.6855912369
263	0.6855881591
264	0.6855768771
265	0.6855730199
266	0.6855694303
267	0.6855623403
268	0.6855593846
269	0.6855485025
270	0.685536248
271	0.6855264965
272	0.6855205677
273	0.685513106
274	0.6855074449
275	0.6855005998
276	0.6854914083
277	0.6854843854
278	0.6854726413
279	0.6854720952
280	0.685455896
281	0.6854477118
282	0.6854462055
283	0.6854446848
284	0.685431366
285	0.6854308102
286	0.6854272739
287	0.6854256712
288	0.6854222472
289	0.6854107228
290	0.6853992659
291	0.6853988239
292	0.6853980616
293	0.6853893479
294	0.6853772976
295	0.6853635295
296	0.6853598762
297	0.6853472857
298	0.6853464116
299	0.6853418409
300	0.6853347183
301	0.6853234714
302	0.685316436
303	0.6853121414
304	0.6853029878
305	0.6853029816
306	0.6852956408
307	0.685281761
308	0.685277701
309	0.6852743806
310	0.6852698171
311	0.6852687423
312	0.6852513726
313	0.6852348627
314	0.6852331219
315	0.6852281578
316	0.6852167727
317	0.6852091288
318	0.6852091288
319	0.6852032838
320	0.6851973315
321	0.6851859996
322	0.6851830165
323	0.685175704
324	0.6851565193
325	0.6851475382
326	0.6851360774
327	0.6851296022
328	0.6851195151
329	0.6851122405
330	0.6851022875
331	0.6851001494
332	0.6850984236
333	0.6850984236
334	0.6850983273
335	0.6850964399
336	0.6850888412
337	0.6850789479
338	0.685067209
339	0.6850612952
340	0.6850453511
341	0.6850394742
342	0.6850297573
343	0.6850252113
344	0.6850190225
345	0.6850064026
346	0.6849975502
347	0.6849975502
348	0.6849813068
349	0.684968366
350	0.684953552
351	0.6849499179
352	0.6849378509
353	0.6849308473
354	0.6849204227
355	0.6849104977
356	0.6848999687
357	0.6848869807
358	0.6848738175
359	0.6848552838
360	0.6848475241
361	0.6848276291
362	0.6848190858
363	0.684797116
364	0.6847877085
365	0.6847794128
366	0.6847669027
367	0.6847606169
368	0.6847605014
369	0.6847417063
370	0.684741656
371	0.6847377419
372	0.6847264472
373	0.6847141753
374	0.684713389
375	0.6847053001
376	0.6847034928
377	0.6846974076
378	0.6846903571
379	0.6846764812
380	0.6846663024
381	0.6846539233
382	0.6846432263
383	0.684626581
384	0.6846168393
385	0.6846072494
386	0.6846033992
387	0.6845942297
388	0.6845596049
389	0.6845520534
390	0.6845476784
391	0.6845396435
392	0.6845222367
393	0.6845117297
394	0.6845014523
395	0.6844888419
396	0.6844814194
397	0.6844721852
398	0.6844544742
399	0.6844399864
400	0.6844202071
401	0.6844079499
402	0.6843944487
403	0.6843786466
404	0.6843665168
405	0.6843487762
406	0.6843387485
407	0.6843223637
408	0.6843103481
409	0.684298593
410	0.6842851358
411	0.6842814272
412	0.6842767357
413	0.6842660068
414	0.6842576809
415	0.6842436919
416	0.684236598
417	0.6842304566
418	0.6842166685
419	0.6842034413
420	0.6841852741
421	0.6841682811
422	0.6841608282
423	0.6841554527
424	0.6841395356
425	0.6841240226
426	0.684095527
427	0.6840744517
428	0.6840618278
429	0.6840570195
430	0.6840396137
431	0.6840149103
432	0.684002702
433	0.6839921867
434	0.6839773563
435	0.6839615144
436	0.6839510049
437	0.6839283848
438	0.6839164566
