iter	Passed	Remaining
0	299	239153
1	406	162276
2	510	135503
3	599	119394
4	696	110702
5	786	104097
6	879	99628
7	979	96937
8	1079	94886
9	1178	93092
10	1280	91868
11	1371	90036
12	1434	86834
13	1535	86199
14	1635	85584
15	1722	84406
16	1807	83246
17	1890	82141
18	1976	81240
19	2073	80860
20	2168	80452
21	2258	79869
22	2353	79508
23	2452	79312
24	2546	78948
25	2655	79052
26	2757	78950
27	2861	78905
28	2949	78403
29	3016	77433
30	3096	76809
31	3185	76454
32	3284	76335
33	3373	76006
34	3469	75843
35	3557	75491
36	3643	75144
37	3746	75124
38	3845	75032
39	3974	75513
40	4074	75435
41	4159	75074
42	4246	74750
43	4324	74297
44	4414	74068
45	4504	73835
46	4596	73639
47	4690	73491
48	4784	73331
49	4875	73128
50	4984	73208
51	5076	73017
52	5166	72823
53	5264	72729
54	5356	72552
55	5453	72458
56	5551	72364
57	5641	72171
58	5735	72028
59	5828	71888
60	5931	71853
61	6026	71735
62	6116	71557
63	6216	71487
64	6314	71399
65	6413	71324
66	6502	71143
67	6587	70913
68	6678	70749
69	6754	70440
70	6842	70260
71	6940	70179
72	7049	70208
73	7139	70043
74	7254	70131
75	7339	69919
76	7436	69824
77	7534	69737
78	7617	69519
79	7707	69368
80	7795	69197
81	7892	69111
82	7969	68843
83	8061	68716
84	8146	68530
85	8232	68352
86	8323	68212
87	8416	68100
88	8510	67987
89	8613	67948
90	8705	67829
91	8797	67705
92	8895	67622
93	9011	67685
94	9138	67817
95	9243	67783
96	9332	67633
97	9430	67550
98	9493	67222
99	9601	67210
100	9712	67220
101	9813	67153
102	9869	66784
103	9947	66570
104	10041	66466
105	10147	66440
106	10240	66323
107	10322	66141
108	10417	66039
109	10509	65922
110	10601	65804
111	10690	65667
112	10770	65479
113	10868	65398
114	10965	65315
115	11048	65148
116	11089	64738
117	11191	64680
118	11279	64548
119	11366	64409
120	11459	64307
121	11551	64194
122	11666	64214
123	11782	64231
124	11879	64150
125	11971	64035
126	12070	63964
127	12167	63880
128	12255	63748
129	12349	63648
130	12455	63609
131	12560	63565
132	12667	63526
133	12760	63421
134	12849	63295
135	12943	63192
136	13032	63068
137	13120	62939
138	13220	62866
139	13309	62746
140	13399	62624
141	13493	62525
142	13594	62458
143	13687	62353
144	13760	62161
145	13855	62063
146	13962	62025
147	14068	61978
148	14165	61890
149	14258	61785
150	14358	61714
151	14457	61634
152	14556	61554
153	14660	61495
154	14748	61372
155	14860	61346
156	14944	61206
157	15038	61104
158	15125	60976
159	15217	60869
160	15308	60759
161	15410	60689
162	15471	60463
163	15574	60400
164	15672	60315
165	15764	60207
166	15841	60046
167	15936	59952
168	16027	59842
169	16119	59736
170	16230	59703
171	16299	59510
172	16397	59427
173	16487	59318
174	16586	59239
175	16678	59133
176	16770	59028
177	16866	58939
178	16956	58825
179	17053	58740
180	17166	58707
181	17269	58640
182	17360	58532
183	17457	58445
184	17557	58366
185	17663	58307
186	17759	58217
187	17853	58117
188	17946	58016
189	18043	57928
190	18098	57707
191	18188	57595
192	18278	57487
193	18364	57365
194	18446	57231
195	18548	57159
196	18643	57065
197	18737	56969
198	18839	56896
199	18943	56830
200	19050	56771
201	19140	56662
202	19237	56575
203	19313	56424
204	19415	56351
205	19539	56342
206	19632	56243
207	19726	56145
208	19818	56040
209	19914	55949
210	20003	55840
211	20116	55795
212	20213	55704
213	20305	55602
214	20393	55488
215	20479	55371
216	20567	55256
217	20627	55068
218	20714	54955
219	20812	54868
